Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,1,1,1.00,1552.37,0.00,1547.37,4.99,646.19,0.00,0.00
selectivity_changes_10_insert,2,1,2.00,1612.97,0.00,1608.97,4.00,634.66,0.00,0.00
selectivity_changes_10_insert,3,1,1.00,1592.99,0.00,1590.99,2.00,634.66,0.00,0.00
selectivity_changes_10_insert,4,1,2.00,1734.03,0.00,1730.03,4.00,612.21,0.00,0.00
selectivity_changes_10_insert,5,1,2.00,1741.95,0.00,1737.95,4.00,569.67,0.00,0.00
selectivity_changes_10_insert,6,1,1.00,1636.04,0.00,1634.04,2.00,623.33,0.00,0.00
selectivity_changes_10_insert,7,1,2.00,1658.81,0.00,1654.81,4.00,601.29,0.00,0.00
selectivity_changes_10_insert,8,1,2.00,1728.15,0.00,1724.15,4.00,612.21,0.00,0.00
selectivity_changes_10_select,1,1,3695.54,3695.54,3695.54,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,2,1,3602.75,3602.75,3602.75,0.00,0.00,0.32,0.00,0.00
selectivity_changes_10_select,3,1,3461.01,3461.01,3461.01,0.00,0.00,0.34,0.00,0.00
selectivity_changes_10_select,4,1,3639.00,3639.00,3639.00,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,5,1,3700.69,3700.69,3700.69,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,6,1,3645.32,3645.32,3645.32,0.00,0.00,0.31,0.00,0.00
selectivity_changes_10_select,7,1,3783.02,3783.02,3783.02,0.00,0.00,0.29,0.00,0.00
selectivity_changes_100_insert,1,1,1.00,1752.46,0.00,1747.47,5.00,569.67,0.00,0.00
selectivity_changes_100_insert,2,1,2.00,1603.67,0.00,1599.67,4.00,612.21,0.00,0.00
selectivity_changes_100_insert,3,1,1.00,1603.86,0.00,1601.86,2.00,623.33,0.00,0.00
selectivity_changes_100_insert,4,1,2.00,1554.97,0.00,1550.97,4.00,646.19,0.00,0.00
selectivity_changes_100_insert,5,1,2.00,1620.13,0.00,1616.13,4.00,634.66,0.00,0.00
selectivity_changes_100_insert,6,1,1.00,1616.00,0.00,1614.00,2.00,612.21,0.00,0.00
selectivity_changes_100_insert,7,1,2.00,1559.02,0.00,1555.02,4.00,657.93,0.00,0.00
selectivity_changes_100_insert,8,1,1.00,1581.01,0.00,1579.01,2.00,646.19,0.00,0.00
selectivity_changes_100_select,1,1,4590.79,4590.79,4590.79,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,2,1,4629.20,4629.20,4629.20,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,3,1,4636.60,4636.60,4636.60,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,4,1,4630.98,4630.98,4630.98,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,5,1,4631.16,4631.16,4631.16,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,6,1,4624.80,4624.80,4624.80,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,7,1,4566.45,4566.45,4566.45,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,8,1,4611.83,4611.83,4611.83,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_insert,1,1,1.00,1554.53,0.00,1549.54,5.00,634.66,0.00,0.00
selectivity_changes_500_insert,2,1,2.00,1639.77,0.00,1635.77,4.00,646.19,0.00,0.00
selectivity_changes_500_insert,3,1,1.00,1612.04,0.00,1610.04,2.00,623.33,0.00,0.00
selectivity_changes_500_insert,4,1,2.00,1595.99,0.00,1591.99,4.00,646.19,0.00,0.00
selectivity_changes_500_insert,5,1,2.00,1635.08,0.00,1631.08,4.00,612.21,0.00,0.00
selectivity_changes_500_insert,6,1,1.00,1574.96,0.00,1572.96,2.00,612.21,0.00,0.00
selectivity_changes_500_insert,7,1,2.00,1625.94,0.00,1621.94,4.00,646.19,0.00,0.00
selectivity_changes_500_insert,8,1,1.00,1651.11,0.00,1649.11,2.00,601.29,0.00,0.00
selectivity_changes_500_select,1,1,4565.58,4565.58,4565.58,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,2,1,4562.34,4562.34,4562.34,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,3,1,4545.72,4545.72,4545.72,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,4,1,4672.29,4672.29,4672.29,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,5,1,4572.95,4572.95,4572.95,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,6,1,4618.98,4618.98,4618.98,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,7,1,4617.90,4617.90,4617.90,0.00,0.00,0.24,0.00,0.00
