Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8190.44,12156.36,8188.44,993.48,2974.44,1070.54,0.00,0.00,3967.92
selectivity_changes_10,4,4,8310.81,12530.12,8304.81,1053.33,3171.99,1014.27,0.00,0.00,4225.31
selectivity_changes_10,6,4,8256.48,12441.85,8252.48,1045.47,3143.90,996.19,0.00,0.00,4189.37
selectivity_changes_10,8,4,8226.98,12463.47,8222.98,1058.00,3182.49,943.85,0.00,0.00,4240.49
selectivity_changes_10,10,4,8302.01,12802.13,8298.01,1124.03,3380.09,910.47,0.00,0.00,4504.12
selectivity_changes_10,12,4,8288.47,12778.43,8284.47,1121.49,3372.47,910.47,0.00,0.00,4493.96
selectivity_changes_10,14,4,8320.53,12898.38,8314.53,1142.96,3440.89,926.98,0.00,0.00,4583.85
selectivity_changes_10,16,4,8303.99,12170.16,8301.99,966.04,2902.13,1032.66,0.00,0.00,3868.17
selectivity_changes_10,18,4,8238.59,12382.42,8232.59,1034.46,3115.37,1032.69,0.00,0.00,4149.83
selectivity_changes_100,2,4,11394.35,16067.94,11390.35,1167.40,3510.19,878.10,0.00,0.00,4677.59
selectivity_changes_100,4,4,11610.05,16180.18,11606.05,1141.78,3432.35,926.82,0.00,0.00,4574.13
selectivity_changes_100,6,4,11581.40,15798.56,11577.40,1053.04,3168.12,978.23,0.00,0.00,4221.16
selectivity_changes_100,8,4,11571.52,16095.29,11567.52,1129.94,3397.83,960.79,0.00,0.00,4527.77
selectivity_changes_100,10,4,11644.55,16086.59,11638.55,1109.01,3339.03,926.81,0.00,0.00,4448.04
selectivity_changes_100,12,4,11728.62,15944.74,11724.62,1053.03,3167.09,978.22,0.00,0.00,4220.12
selectivity_changes_100,14,4,11720.31,15876.27,11716.31,1037.99,3121.97,943.64,0.00,0.00,4159.96
selectivity_changes_100,16,4,11523.69,15613.59,11519.69,1021.47,3072.42,1089.79,0.00,0.00,4093.90
selectivity_changes_100,18,4,11644.82,15492.94,11640.82,961.03,2891.09,1070.34,0.00,0.00,3852.12
selectivity_changes_500,2,4,11744.85,15952.73,11740.85,1049.47,3162.41,960.78,0.00,0.00,4211.88
selectivity_changes_500,4,4,12075.15,16516.23,12071.15,1109.27,3335.81,926.79,0.00,0.00,4445.08
selectivity_changes_500,6,4,11953.02,16353.21,11949.02,1099.05,3305.14,894.04,0.00,0.00,4404.19
selectivity_changes_500,8,4,11896.50,15960.46,11892.50,1014.99,3052.97,1014.08,0.00,0.00,4067.96
selectivity_changes_500,10,4,11981.51,16697.40,11977.51,1177.97,3541.92,878.08,0.00,0.00,4719.89
selectivity_changes_500,12,4,11990.47,16928.39,11984.47,1232.98,3710.94,817.10,0.00,0.00,4943.92
selectivity_changes_500,14,4,11958.97,16568.97,11954.97,1151.50,3462.50,862.42,0.00,0.00,4614.00
selectivity_changes_500,16,4,11968.54,16568.10,11964.54,1149.01,3454.54,894.03,0.00,0.00,4603.56
selectivity_changes_500,18,4,12237.95,16798.36,12231.95,1138.48,3427.93,926.79,0.00,0.00,4566.41
