Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3768.31,5653.52,3766.31,1880.21,6.99,435.13,0.00,0.00,1887.21
selectivity_changes_10,2,1,3837.95,5759.91,3835.95,1919.96,4.00,419.74,0.00,0.00,1923.96
selectivity_changes_10,3,1,3830.92,5736.96,3827.92,1903.04,6.00,427.36,0.00,0.00,1909.04
selectivity_changes_10,4,1,3892.16,5847.17,3890.16,1953.01,4.00,412.24,0.00,0.00,1957.01
selectivity_changes_10,5,1,3849.00,5765.94,3847.00,1914.94,4.00,419.74,0.00,0.00,1918.94
selectivity_changes_10,6,1,3841.57,5694.54,3838.57,1849.97,6.00,419.74,0.00,0.00,1855.97
selectivity_changes_10,7,1,3874.14,5661.16,3872.14,1785.02,4.00,493.53,0.00,0.00,1789.02
selectivity_changes_100,1,1,4501.90,6351.14,4499.90,1844.25,6.99,435.07,0.00,0.00,1851.24
selectivity_changes_100,2,1,4652.17,6603.99,4650.17,1949.82,4.00,412.19,0.00,0.00,1953.82
selectivity_changes_100,3,1,4594.51,6470.56,4591.51,1873.05,6.00,435.07,0.00,0.00,1879.05
selectivity_changes_100,4,1,4615.40,6465.35,4613.40,1847.95,4.00,451.01,0.00,0.00,1851.95
selectivity_changes_100,5,1,4605.05,6528.15,4603.05,1921.10,4.00,427.31,0.00,0.00,1925.10
selectivity_changes_100,6,1,4597.69,6535.55,4594.69,1934.86,6.00,419.69,0.00,0.00,1940.86
selectivity_changes_100,7,1,4464.27,6387.34,4462.27,1921.07,4.00,427.31,0.00,0.00,1925.07
selectivity_changes_500,1,1,4671.99,6620.32,4669.99,1943.33,6.99,412.20,0.00,0.00,1950.33
selectivity_changes_500,2,1,4665.97,6591.82,4663.97,1923.85,4.00,419.69,0.00,0.00,1927.85
selectivity_changes_500,3,1,4741.49,6637.45,4738.49,1892.96,6.00,427.30,0.00,0.00,1898.96
selectivity_changes_500,4,1,4665.53,6536.49,4663.53,1868.96,4.00,435.07,0.00,0.00,1872.96
selectivity_changes_500,5,1,4770.77,6671.78,4768.77,1899.01,4.00,442.96,0.00,0.00,1903.01
selectivity_changes_500,6,1,4759.09,6722.12,4756.09,1960.03,6.00,404.84,0.00,0.00,1966.03
selectivity_changes_500,7,1,4593.75,6522.73,4591.75,1926.98,4.00,419.69,0.00,0.00,1930.98
