Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,1,1,3777.39,5226.13,3776.39,1444.74,5.00,559.79,0.00,0.00,1449.74
selectivity_changes_10,2,1,3747.80,5204.36,3745.80,1454.56,4.00,559.79,0.00,0.00,1458.56
selectivity_changes_10,3,1,3781.12,5192.13,3779.12,1409.01,4.00,580.31,0.00,0.00,1413.01
selectivity_changes_10,4,1,3778.92,5313.89,3776.92,1532.97,4.00,540.00,0.00,0.00,1536.97
selectivity_changes_10,5,1,3751.99,5274.92,3749.99,1520.93,4.00,511.62,0.00,0.00,1524.93
selectivity_changes_10,6,1,3744.67,5188.73,3743.67,1443.06,2.00,540.01,0.00,0.00,1445.06
selectivity_changes_10,7,1,3821.13,5103.18,3819.13,1280.05,4.00,670.18,0.00,0.00,1284.05
selectivity_changes_10,8,1,3694.07,5169.07,3692.07,1473.00,4.00,559.80,0.00,0.00,1477.00
selectivity_changes_100,1,1,4498.70,5899.35,4497.70,1396.65,5.00,580.27,0.00,0.00,1401.65
selectivity_changes_100,2,1,4482.83,5960.52,4480.83,1475.69,4.00,559.75,0.00,0.00,1479.69
selectivity_changes_100,3,1,4537.25,5953.21,4535.25,1413.96,4.00,580.26,0.00,0.00,1417.96
selectivity_changes_100,4,1,4494.96,5975.95,4492.96,1478.99,4.00,580.27,0.00,0.00,1482.99
selectivity_changes_100,5,1,4525.00,5958.99,4524.00,1432.99,2.00,559.75,0.00,0.00,1434.99
selectivity_changes_100,6,1,4489.69,5932.73,4487.69,1441.04,4.00,549.76,0.00,0.00,1445.04
selectivity_changes_100,7,1,4553.35,5929.29,4551.35,1373.94,4.00,590.80,0.00,0.00,1377.94
selectivity_changes_100,8,1,4589.25,6047.40,4587.25,1456.15,4.00,580.26,0.00,0.00,1460.15
selectivity_changes_500,1,1,4521.89,5926.59,4520.89,1400.71,5.00,601.54,0.00,0.00,1405.70
selectivity_changes_500,2,1,4670.11,6262.74,4668.11,1590.63,4.00,520.86,0.00,0.00,1594.63
selectivity_changes_500,3,1,4644.93,6234.96,4642.93,1588.03,4.00,511.57,0.00,0.00,1592.03
selectivity_changes_500,4,1,4621.81,6295.86,4619.81,1672.05,4.00,502.44,0.00,0.00,1676.05
selectivity_changes_500,5,1,4702.06,6103.99,4700.06,1399.93,4.00,559.73,0.00,0.00,1403.93
selectivity_changes_500,6,1,4689.02,6014.08,4687.02,1323.06,4.00,623.57,0.00,0.00,1327.06
selectivity_changes_500,7,1,4677.12,6041.19,4676.12,1363.07,2.00,601.53,0.00,0.00,1365.07
