Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,1,1,1.00,1449.74,0.00,1444.74,5.00,559.50,0.00,0.00
selectivity_changes_10_insert,2,1,2.00,1458.56,0.00,1454.56,4.00,559.50,0.00,0.00
selectivity_changes_10_insert,3,1,2.00,1413.01,0.00,1409.01,4.00,580.02,0.00,0.00
selectivity_changes_10_insert,4,1,2.00,1536.97,0.00,1532.97,4.00,539.71,0.00,0.00
selectivity_changes_10_insert,5,1,2.00,1524.93,0.00,1520.93,4.00,511.33,0.00,0.00
selectivity_changes_10_insert,6,1,1.00,1445.06,0.00,1443.06,2.00,539.71,0.00,0.00
selectivity_changes_10_insert,7,1,2.00,1284.05,0.00,1280.05,4.00,669.89,0.00,0.00
selectivity_changes_10_insert,8,1,2.00,1477.00,0.00,1473.00,4.00,559.50,0.00,0.00
selectivity_changes_10_select,1,1,3776.39,3776.39,3776.39,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,2,1,3745.80,3745.80,3745.80,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,3,1,3779.12,3779.12,3779.12,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,4,1,3776.92,3776.92,3776.92,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,5,1,3749.99,3749.99,3749.99,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,6,1,3743.67,3743.67,3743.67,0.00,0.00,0.30,0.00,0.00
selectivity_changes_10_select,7,1,3819.13,3819.13,3819.13,0.00,0.00,0.29,0.00,0.00
selectivity_changes_10_select,8,1,3692.07,3692.07,3692.07,0.00,0.00,0.30,0.00,0.00
selectivity_changes_100_insert,1,1,1.00,1401.65,0.00,1396.65,5.00,580.02,0.00,0.00
selectivity_changes_100_insert,2,1,2.00,1479.69,0.00,1475.69,4.00,559.50,0.00,0.00
selectivity_changes_100_insert,3,1,2.00,1417.96,0.00,1413.96,4.00,580.02,0.00,0.00
selectivity_changes_100_insert,4,1,2.00,1482.99,0.00,1478.99,4.00,580.02,0.00,0.00
selectivity_changes_100_insert,5,1,1.00,1434.99,0.00,1432.99,2.00,559.50,0.00,0.00
selectivity_changes_100_insert,6,1,2.00,1445.04,0.00,1441.04,4.00,549.52,0.00,0.00
selectivity_changes_100_insert,7,1,2.00,1377.94,0.00,1373.94,4.00,590.56,0.00,0.00
selectivity_changes_100_insert,8,1,2.00,1460.15,0.00,1456.15,4.00,580.02,0.00,0.00
selectivity_changes_100_select,1,1,4497.70,4497.70,4497.70,0.00,0.00,0.25,0.00,0.00
selectivity_changes_100_select,2,1,4480.83,4480.83,4480.83,0.00,0.00,0.25,0.00,0.00
selectivity_changes_100_select,3,1,4535.25,4535.25,4535.25,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,4,1,4492.96,4492.96,4492.96,0.00,0.00,0.25,0.00,0.00
selectivity_changes_100_select,5,1,4524.00,4524.00,4524.00,0.00,0.00,0.25,0.00,0.00
selectivity_changes_100_select,6,1,4487.69,4487.69,4487.69,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,7,1,4551.35,4551.35,4551.35,0.00,0.00,0.24,0.00,0.00
selectivity_changes_100_select,8,1,4587.25,4587.25,4587.25,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_insert,1,1,1.00,1405.70,0.00,1400.71,5.00,601.29,0.00,0.00
selectivity_changes_500_insert,2,1,2.00,1594.63,0.00,1590.63,4.00,520.62,0.00,0.00
selectivity_changes_500_insert,3,1,2.00,1592.03,0.00,1588.03,4.00,511.33,0.00,0.00
selectivity_changes_500_insert,4,1,2.00,1676.05,0.00,1672.05,4.00,502.20,0.00,0.00
selectivity_changes_500_insert,5,1,2.00,1403.93,0.00,1399.93,4.00,559.50,0.00,0.00
selectivity_changes_500_insert,6,1,2.00,1327.06,0.00,1323.06,4.00,623.33,0.00,0.00
selectivity_changes_500_insert,7,1,1.00,1365.07,0.00,1363.07,2.00,601.29,0.00,0.00
selectivity_changes_500_insert,8,1,2.00,1385.99,0.00,1381.99,4.00,590.56,0.00,0.00
selectivity_changes_500_select,1,1,4520.89,4520.89,4520.89,0.00,0.00,0.25,0.00,0.00
selectivity_changes_500_select,2,1,4668.11,4668.11,4668.11,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,3,1,4642.93,4642.93,4642.93,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,4,1,4619.81,4619.81,4619.81,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,5,1,4700.06,4700.06,4700.06,0.00,0.00,0.23,0.00,0.00
selectivity_changes_500_select,6,1,4687.02,4687.02,4687.02,0.00,0.00,0.24,0.00,0.00
selectivity_changes_500_select,7,1,4676.12,4676.12,4676.12,0.00,0.00,0.24,0.00,0.00
