Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8607.96,13373.28,8603.96,1191.83,3577.49,862.59,0.00,0.00,4769.32
selectivity_changes_10,4,4,8572.06,13417.70,8568.06,1210.41,3639.23,847.24,0.00,0.00,4849.64
selectivity_changes_10,6,4,8711.53,14023.26,8705.53,1326.43,3991.30,802.68,0.00,0.00,5317.73
selectivity_changes_10,8,4,8700.92,13985.44,8694.92,1320.00,3970.51,802.69,0.00,0.00,5290.52
selectivity_changes_10,10,4,8669.14,13554.10,8665.14,1219.87,3669.10,817.26,0.00,0.00,4888.96
selectivity_changes_10,12,4,8701.52,13691.97,8695.52,1246.11,3750.34,832.10,0.00,0.00,4996.45
selectivity_changes_10,14,4,8723.51,13553.64,8719.51,1206.53,3627.60,832.08,0.00,0.00,4834.13
selectivity_changes_10,16,4,8688.48,13600.67,8684.48,1227.05,3689.14,832.09,0.00,0.00,4916.19
selectivity_changes_10,18,4,8715.48,13337.28,8709.48,1153.95,3473.85,894.19,0.00,0.00,4627.80
selectivity_changes_100,2,4,11567.61,17165.07,11563.61,1398.24,4203.22,720.41,0.00,0.00,5601.46
selectivity_changes_100,4,4,11715.93,16694.74,11709.93,1242.83,3741.98,817.12,0.00,0.00,4984.81
selectivity_changes_100,6,4,11711.53,16671.60,11707.53,1239.02,3725.05,817.12,0.00,0.00,4964.07
selectivity_changes_100,8,4,11776.80,16754.67,11770.80,1242.97,3740.90,817.11,0.00,0.00,4983.87
selectivity_changes_100,10,4,11692.10,16646.20,11688.10,1237.53,3720.58,817.12,0.00,0.00,4958.10
selectivity_changes_100,12,4,11712.59,16966.46,11706.59,1311.97,3947.90,802.54,0.00,0.00,5259.87
selectivity_changes_100,14,4,11706.50,17380.58,11700.50,1417.02,4263.06,720.41,0.00,0.00,5680.08
selectivity_changes_100,16,4,11701.96,17355.89,11697.96,1412.48,4245.45,707.56,0.00,0.00,5657.93
selectivity_changes_100,18,4,11951.97,17566.22,11945.97,1402.06,4218.18,733.49,0.00,0.00,5620.25
selectivity_changes_500,2,4,11782.02,17242.67,11778.02,1362.79,4101.86,733.48,0.00,0.00,5464.65
selectivity_changes_500,4,4,11902.25,17645.23,11896.25,1434.37,4314.61,760.35,0.00,0.00,5748.98
selectivity_changes_500,6,4,11896.10,17649.05,11890.10,1436.49,4322.46,733.48,0.00,0.00,5758.95
selectivity_changes_500,8,4,11868.12,17294.14,11862.12,1355.01,4077.02,760.36,0.00,0.00,5432.02
selectivity_changes_500,10,4,11722.45,16776.69,11718.45,1262.56,3795.68,802.55,0.00,0.00,5058.24
selectivity_changes_500,12,4,11887.16,17056.98,11881.16,1290.96,3884.87,774.16,0.00,0.00,5175.82
selectivity_changes_500,14,4,12208.92,17477.00,12204.92,1316.02,3956.06,774.14,0.00,0.00,5272.08
selectivity_changes_500,16,4,12002.45,17278.34,11996.45,1317.47,3964.42,774.15,0.00,0.00,5281.89
selectivity_changes_500,18,4,11893.54,17141.69,11887.54,1310.54,3943.61,774.16,0.00,0.00,5254.15
