Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,4769.32,0.00,1191.83,3577.49,861.95,0.00,0.00
selectivity_changes_10_insert,4,4,4.00,4849.64,0.00,1210.41,3639.23,846.57,0.00,0.00
selectivity_changes_10_insert,6,4,6.00,5317.73,0.00,1326.43,3991.30,802.05,0.00,0.00
selectivity_changes_10_insert,8,4,6.00,5290.52,0.00,1320.00,3970.51,802.05,0.00,0.00
selectivity_changes_10_insert,10,4,4.00,4888.96,0.00,1219.87,3669.10,816.63,0.00,0.00
selectivity_changes_10_insert,12,4,6.00,4996.45,0.00,1246.11,3750.34,831.46,0.00,0.00
selectivity_changes_10_insert,14,4,4.00,4834.13,0.00,1206.53,3627.60,831.46,0.00,0.00
selectivity_changes_10_insert,16,4,4.00,4916.19,0.00,1227.05,3689.14,831.46,0.00,0.00
selectivity_changes_10_insert,18,4,6.00,4627.80,0.00,1153.95,3473.85,893.56,0.00,0.00
selectivity_changes_10_select,2,4,8603.96,8603.96,8603.96,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,4,4,8568.06,8568.06,8568.06,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,6,4,8705.53,8705.53,8705.53,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,8,4,8694.92,8694.92,8694.92,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,10,4,8665.14,8665.14,8665.14,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,12,4,8695.52,8695.52,8695.52,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,14,4,8719.51,8719.51,8719.51,0.00,0.00,0.62,0.00,0.00
selectivity_changes_10_select,16,4,8684.48,8684.48,8684.48,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,18,4,8709.48,8709.48,8709.48,0.00,0.00,0.63,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,5601.46,0.00,1398.24,4203.22,719.92,0.00,0.00
selectivity_changes_100_insert,4,4,6.00,4984.81,0.00,1242.83,3741.98,816.63,0.00,0.00
selectivity_changes_100_insert,6,4,4.00,4964.07,0.00,1239.02,3725.05,816.63,0.00,0.00
selectivity_changes_100_insert,8,4,6.00,4983.87,0.00,1242.97,3740.90,816.63,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,4958.10,0.00,1237.53,3720.58,816.63,0.00,0.00
selectivity_changes_100_insert,12,4,6.00,5259.87,0.00,1311.97,3947.90,802.05,0.00,0.00
selectivity_changes_100_insert,14,4,6.00,5680.08,0.00,1417.02,4263.06,719.92,0.00,0.00
selectivity_changes_100_insert,16,4,4.00,5657.93,0.00,1412.48,4245.45,707.07,0.00,0.00
selectivity_changes_100_insert,18,4,6.00,5620.25,0.00,1402.06,4218.18,733.00,0.00,0.00
selectivity_changes_100_select,2,4,11563.61,11563.61,11563.61,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,4,4,11709.93,11709.93,11709.93,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,6,4,11707.53,11707.53,11707.53,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,8,4,11770.80,11770.80,11770.80,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,10,4,11688.10,11688.10,11688.10,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,12,4,11706.59,11706.59,11706.59,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,14,4,11700.50,11700.50,11700.50,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,16,4,11697.96,11697.96,11697.96,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,18,4,11945.97,11945.97,11945.97,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_insert,2,4,4.00,5464.65,0.00,1362.79,4101.86,733.00,0.00,0.00
selectivity_changes_500_insert,4,4,6.00,5748.98,0.00,1434.37,4314.61,759.88,0.00,0.00
selectivity_changes_500_insert,6,4,6.00,5758.95,0.00,1436.49,4322.46,733.00,0.00,0.00
selectivity_changes_500_insert,8,4,6.00,5432.02,0.00,1355.01,4077.02,759.88,0.00,0.00
selectivity_changes_500_insert,10,4,4.00,5058.24,0.00,1262.56,3795.68,802.05,0.00,0.00
selectivity_changes_500_insert,12,4,6.00,5175.82,0.00,1290.96,3884.87,773.68,0.00,0.00
selectivity_changes_500_insert,14,4,4.00,5272.08,0.00,1316.02,3956.06,773.68,0.00,0.00
selectivity_changes_500_insert,16,4,6.00,5281.89,0.00,1317.47,3964.42,773.68,0.00,0.00
selectivity_changes_500_insert,18,4,6.00,5254.15,0.00,1310.54,3943.61,773.68,0.00,0.00
selectivity_changes_500_select,2,4,11778.02,11778.02,11778.02,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,4,4,11896.25,11896.25,11896.25,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,6,4,11890.10,11890.10,11890.10,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,8,4,11862.12,11862.12,11862.12,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,10,4,11718.45,11718.45,11718.45,0.00,0.00,0.50,0.00,0.00
selectivity_changes_500_select,12,4,11881.16,11881.16,11881.16,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,14,4,12204.92,12204.92,12204.92,0.00,0.00,0.46,0.00,0.00
selectivity_changes_500_select,16,4,11996.45,11996.45,11996.45,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,18,4,11887.54,11887.54,11887.54,0.00,0.00,0.48,0.00,0.00
