Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,6.00,6548.44,0.00,1635.61,4912.83,623.33,0.00,0.00
selectivity_changes_10_insert,4,4,6.00,6630.23,0.00,1654.93,4975.30,612.21,0.00,0.00
selectivity_changes_10_insert,6,4,6.00,6576.50,0.00,1641.00,4935.50,612.21,0.00,0.00
selectivity_changes_10_insert,8,4,8.00,6613.07,0.00,1649.02,4964.05,612.21,0.00,0.00
selectivity_changes_10_insert,10,4,6.00,6643.75,0.00,1657.94,4985.81,612.21,0.00,0.00
selectivity_changes_10_insert,12,4,6.00,6621.55,0.00,1652.51,4969.04,612.21,0.00,0.00
selectivity_changes_10_insert,14,4,8.00,6674.54,0.00,1664.51,5010.03,601.29,0.00,0.00
selectivity_changes_10_insert,16,4,6.00,6642.36,0.00,1657.59,4984.77,612.21,0.00,0.00
selectivity_changes_10_insert,18,4,6.00,6541.38,0.00,1632.47,4908.91,612.21,0.00,0.00
selectivity_changes_10_select,2,4,8503.13,8503.13,8503.13,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,4,4,8623.47,8623.47,8623.47,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,6,4,8559.43,8559.43,8559.43,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,8,4,8570.53,8570.53,8570.53,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,10,4,8581.99,8581.99,8581.99,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,12,4,8619.98,8619.98,8619.98,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,14,4,8630.99,8630.99,8630.99,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,16,4,8582.54,8582.54,8582.54,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,18,4,8622.50,8622.50,8622.50,0.00,0.00,0.63,0.00,0.00
selectivity_changes_100_insert,2,4,6.00,6657.07,0.00,1661.14,4995.93,601.29,0.00,0.00
selectivity_changes_100_insert,4,4,6.00,6729.17,0.00,1678.92,5050.25,601.29,0.00,0.00
selectivity_changes_100_insert,6,4,6.00,6646.03,0.00,1658.51,4987.52,612.21,0.00,0.00
selectivity_changes_100_insert,8,4,8.00,6694.96,0.00,1669.99,5024.97,601.29,0.00,0.00
selectivity_changes_100_insert,10,4,6.00,6691.70,0.00,1670.05,5021.65,601.29,0.00,0.00
selectivity_changes_100_insert,12,4,6.00,6595.34,0.00,1645.46,4949.88,601.29,0.00,0.00
selectivity_changes_100_insert,14,4,8.00,6645.91,0.00,1657.48,4988.43,623.33,0.00,0.00
selectivity_changes_100_insert,16,4,6.00,6619.58,0.00,1652.02,4967.56,612.21,0.00,0.00
selectivity_changes_100_insert,18,4,6.00,6702.64,0.00,1672.54,5030.11,601.29,0.00,0.00
selectivity_changes_100_select,2,4,11551.06,11551.06,11551.06,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,4,4,11687.77,11687.77,11687.77,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,6,4,11724.03,11724.03,11724.03,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,8,4,11872.09,11872.09,11872.09,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,10,4,11698.79,11698.79,11698.79,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,12,4,11856.11,11856.11,11856.11,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,14,4,11951.98,11951.98,11951.98,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,16,4,11749.48,11749.48,11749.48,0.00,0.00,0.47,0.00,0.00
selectivity_changes_100_select,18,4,11820.02,11820.52,11820.52,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_insert,2,4,6.00,6670.10,0.00,1665.53,5004.58,601.29,0.00,0.00
selectivity_changes_500_insert,4,4,6.00,6666.18,0.00,1663.54,5002.63,601.29,0.00,0.00
selectivity_changes_500_insert,6,4,6.00,6611.77,0.00,1649.94,4961.83,612.21,0.00,0.00
selectivity_changes_500_insert,8,4,8.00,6598.10,0.00,1645.52,4952.57,612.21,0.00,0.00
selectivity_changes_500_insert,10,4,6.00,6602.03,0.00,1647.51,4954.52,612.21,0.00,0.00
selectivity_changes_500_insert,12,4,6.00,6628.96,0.00,1654.49,4974.47,612.21,0.00,0.00
selectivity_changes_500_insert,14,4,8.00,6689.08,0.00,1668.02,5021.06,601.29,0.00,0.00
selectivity_changes_500_insert,16,4,6.00,6679.91,0.00,1666.98,5012.93,612.21,0.00,0.00
selectivity_changes_500_insert,18,4,6.00,6674.04,0.00,1665.51,5008.53,601.29,0.00,0.00
selectivity_changes_500_select,2,4,11880.75,11880.75,11880.75,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,4,4,11945.46,11945.46,11945.46,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,6,4,12035.93,12035.93,12035.93,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,8,4,11901.08,11901.08,11901.08,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,10,4,12092.54,12092.54,12092.54,0.00,0.00,0.46,0.00,0.00
selectivity_changes_500_select,12,4,11995.93,11995.93,11995.93,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,14,4,12047.97,12047.97,12047.97,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,16,4,11989.51,11989.51,11989.51,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,18,4,12005.03,12005.03,12005.03,0.00,0.00,0.47,0.00,0.00
