Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8159.75,12935.49,8155.75,1191.44,3588.30,847.25,0.00,0.00,4779.74
selectivity_changes_10,4,4,8218.79,13618.03,8212.79,1348.31,4056.93,832.14,0.00,0.00,5405.24
selectivity_changes_10,6,4,8264.43,13784.40,8260.43,1378.99,4144.97,733.67,0.00,0.00,5523.97
selectivity_changes_10,8,4,8271.03,13351.34,8265.03,1268.95,3817.36,817.30,0.00,0.00,5086.31
selectivity_changes_10,10,4,8222.96,13310.67,8218.96,1270.55,3821.15,817.31,0.00,0.00,5091.71
selectivity_changes_10,12,4,8270.17,13483.97,8264.17,1301.95,3917.85,788.41,0.00,0.00,5219.80
selectivity_changes_10,14,4,8292.74,13676.82,8286.74,1344.52,4045.56,746.99,0.00,0.00,5390.08
selectivity_changes_10,16,4,8238.65,13142.75,8234.65,1225.02,3683.07,817.31,0.00,0.00,4908.10
selectivity_changes_10,18,4,8264.91,13302.84,8258.91,1257.98,3785.95,817.30,0.00,0.00,5043.93
selectivity_changes_100,2,4,11268.34,16443.86,11264.34,1291.38,3888.14,831.97,0.00,0.00,5179.52
selectivity_changes_100,4,4,11504.33,16940.51,11498.33,1357.79,4084.38,760.38,0.00,0.00,5442.18
selectivity_changes_100,6,4,11380.94,16580.14,11376.94,1298.55,3904.65,760.39,0.00,0.00,5203.20
selectivity_changes_100,8,4,11532.52,16414.42,11526.52,1218.98,3668.93,831.95,0.00,0.00,4887.90
selectivity_changes_100,10,4,11451.07,16285.81,11447.57,1207.56,3630.68,817.13,0.00,0.00,4838.24
selectivity_changes_100,12,4,11500.41,16541.71,11493.91,1258.95,3788.85,862.45,0.00,0.00,5047.80
selectivity_changes_100,14,4,11505.52,16179.35,11501.52,1167.46,3510.37,847.07,0.00,0.00,4677.83
selectivity_changes_100,16,4,11479.96,16318.09,11473.96,1208.53,3635.60,878.11,0.00,0.00,4844.13
selectivity_changes_100,18,4,11593.00,16463.09,11589.00,1216.02,3658.07,831.95,0.00,0.00,4874.09
selectivity_changes_500,2,4,11768.10,16545.82,11764.60,1191.81,3589.41,894.06,0.00,0.00,4781.22
selectivity_changes_500,4,4,12006.26,17254.29,11999.76,1310.88,3943.65,774.16,0.00,0.00,5254.53
selectivity_changes_500,6,4,12067.69,17112.90,12063.69,1260.05,3789.16,802.52,0.00,0.00,5049.21
selectivity_changes_500,8,4,12090.95,17016.48,12086.95,1230.38,3699.15,847.04,0.00,0.00,4929.53
selectivity_changes_500,10,4,12135.91,17502.14,12129.91,1340.06,4032.17,774.14,0.00,0.00,5372.23
selectivity_changes_500,12,4,12096.88,17519.14,12090.88,1354.06,4074.19,760.35,0.00,0.00,5428.26
selectivity_changes_500,14,4,11960.29,16972.25,11956.29,1251.99,3763.97,788.23,0.00,0.00,5015.96
selectivity_changes_500,16,4,12106.45,17182.27,12100.45,1267.46,3814.36,817.12,0.00,0.00,5081.82
selectivity_changes_500,18,4,12006.36,17290.63,12000.36,1319.57,3970.70,774.16,0.00,0.00,5290.27
