Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_10,2,4,8415.68,13962.72,8411.68,1385.26,4165.78,733.65,0.00,0.00,5551.04
selectivity_changes_10,4,4,8488.81,13948.28,8483.31,1363.37,4101.60,760.53,0.00,0.00,5464.97
selectivity_changes_10,6,4,8411.49,13969.55,8404.99,1388.01,4176.54,733.67,0.00,0.00,5564.56
selectivity_changes_10,8,4,8480.95,13925.05,8476.95,1360.03,4088.08,733.64,0.00,0.00,5448.10
selectivity_changes_10,10,4,8523.11,13976.94,8517.11,1361.96,4097.87,760.53,0.00,0.00,5459.83
selectivity_changes_10,12,4,8491.46,13957.33,8485.46,1364.97,4106.90,746.97,0.00,0.00,5471.87
selectivity_changes_10,14,4,8502.50,14129.27,8497.00,1405.07,4227.20,720.57,0.00,0.00,5632.27
selectivity_changes_10,16,4,8536.09,14129.61,8529.59,1397.00,4203.01,720.56,0.00,0.00,5600.02
selectivity_changes_10,18,4,8513.35,13941.59,8509.35,1356.44,4075.81,746.96,0.00,0.00,5432.24
selectivity_changes_100,2,4,11460.07,16919.31,11456.07,1363.31,4099.93,746.81,0.00,0.00,5463.24
selectivity_changes_100,4,4,11570.45,17204.86,11564.45,1407.35,4233.06,746.81,0.00,0.00,5640.41
selectivity_changes_100,6,4,11636.58,17217.55,11630.58,1393.49,4193.48,720.41,0.00,0.00,5586.97
selectivity_changes_100,8,4,11628.01,17120.47,11622.01,1371.99,4126.47,733.49,0.00,0.00,5498.46
selectivity_changes_100,10,4,11629.86,16985.28,11625.86,1337.48,4021.94,760.36,0.00,0.00,5359.42
selectivity_changes_100,12,4,11618.60,17126.81,11612.60,1375.55,4138.66,760.37,0.00,0.00,5514.21
selectivity_changes_100,14,4,11614.45,17144.40,11608.45,1380.99,4154.96,746.80,0.00,0.00,5535.95
selectivity_changes_100,16,4,11561.60,17078.56,11557.60,1378.49,4142.47,733.49,0.00,0.00,5520.96
selectivity_changes_100,18,4,11634.93,17003.78,11628.93,1340.46,4034.39,760.37,0.00,0.00,5374.85
selectivity_changes_500,2,4,11702.96,17217.72,11698.96,1377.19,4141.56,720.40,0.00,0.00,5518.76
selectivity_changes_500,4,4,11881.87,17377.49,11875.87,1372.40,4129.22,746.80,0.00,0.00,5501.62
selectivity_changes_500,6,4,11931.78,17215.89,11925.78,1319.53,3970.59,774.15,0.00,0.00,5290.11
selectivity_changes_500,8,4,11889.71,17373.95,11885.71,1370.06,4118.18,733.48,0.00,0.00,5488.24
selectivity_changes_500,10,4,11969.01,17388.87,11963.01,1353.47,4072.40,746.79,0.00,0.00,5425.86
selectivity_changes_500,12,4,11962.50,17228.48,11956.50,1315.00,3956.99,774.15,0.00,0.00,5271.98
selectivity_changes_500,14,4,12087.04,17248.05,12083.04,1289.50,3875.51,802.52,0.00,0.00,5165.01
selectivity_changes_500,16,4,11987.97,17451.08,11981.97,1364.03,4105.08,746.79,0.00,0.00,5469.11
selectivity_changes_500,18,4,11979.43,17341.48,11973.43,1339.01,4029.04,760.35,0.00,0.00,5368.05
