Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,5175.14,0.00,1291.29,3883.85,759.88,0.00,0.00
selectivity_changes_10_insert,4,4,4.00,4583.14,0.00,1143.78,3439.35,877.61,0.00,0.00
selectivity_changes_10_insert,6,4,6.00,4486.18,0.00,1118.55,3367.64,893.56,0.00,0.00
selectivity_changes_10_insert,8,4,4.00,4422.10,0.00,1103.53,3318.58,909.80,0.00,0.00
selectivity_changes_10_insert,10,4,4.00,4639.86,0.00,1157.97,3481.90,909.80,0.00,0.00
selectivity_changes_10_insert,12,4,4.00,4602.00,0.00,1148.50,3453.50,877.61,0.00,0.00
selectivity_changes_10_insert,14,4,6.00,4488.19,0.00,1119.05,3369.14,909.80,0.00,0.00
selectivity_changes_10_insert,16,4,4.00,4449.84,0.00,1110.46,3339.38,909.80,0.00,0.00
selectivity_changes_10_insert,18,4,4.00,4430.12,0.00,1105.53,3324.59,909.80,0.00,0.00
selectivity_changes_10_select,2,4,8658.15,8658.15,8658.15,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,4,4,8767.83,8767.83,8767.83,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,6,4,8807.55,8808.05,8808.05,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,8,4,8795.96,8795.46,8795.46,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,10,4,8788.56,8788.56,8788.56,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,12,4,8771.96,8771.96,8771.96,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,14,4,8756.91,8756.91,8756.91,0.00,0.00,0.63,0.00,0.00
selectivity_changes_10_select,16,4,8817.58,8817.58,8817.58,0.00,0.00,0.62,0.00,0.00
selectivity_changes_10_select,18,4,8821.82,8821.82,8821.82,0.00,0.00,0.63,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,4621.60,0.00,1151.90,3469.70,893.56,0.00,0.00
selectivity_changes_100_insert,4,4,4.00,4589.03,0.00,1145.26,3443.77,877.61,0.00,0.00
selectivity_changes_100_insert,6,4,4.00,4534.15,0.00,1131.54,3402.61,877.61,0.00,0.00
selectivity_changes_100_insert,8,4,6.00,4376.13,0.00,1091.03,3285.09,926.33,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,4477.86,0.00,1117.46,3360.39,893.56,0.00,0.00
selectivity_changes_100_insert,12,4,4.00,4338.08,0.00,1082.52,3255.56,943.16,0.00,0.00
selectivity_changes_100_insert,14,4,4.00,4548.03,0.00,1135.01,3413.02,893.56,0.00,0.00
selectivity_changes_100_insert,16,4,4.00,4569.34,0.00,1140.46,3428.88,893.56,0.00,0.00
selectivity_changes_100_insert,18,4,4.00,3942.65,0.00,983.54,2959.11,960.30,0.00,0.00
selectivity_changes_100_select,2,4,11304.98,11304.98,11304.98,0.00,0.00,0.52,0.00,0.00
selectivity_changes_100_select,4,4,11478.00,11478.00,11478.00,0.00,0.00,0.52,0.00,0.00
selectivity_changes_100_select,6,4,11637.11,11637.11,11637.11,0.00,0.00,0.50,0.00,0.00
