Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,4822.98,0.00,1203.25,3619.73,861.95,0.00,0.00
selectivity_changes_10_insert,4,4,4.00,4041.40,0.00,1008.35,3033.05,1129.24,0.00,0.00
selectivity_changes_10_insert,6,4,4.00,3920.02,0.00,978.01,2942.02,1013.60,0.00,0.00
selectivity_changes_10_insert,8,4,4.00,3765.89,0.00,939.47,2826.42,1069.86,0.00,0.00
selectivity_changes_10_insert,10,4,4.00,5422.61,0.00,1354.03,4068.58,877.61,0.00,0.00
selectivity_changes_10_insert,12,4,6.00,5445.58,0.00,1358.02,4087.56,733.00,0.00,0.00
selectivity_changes_10_insert,14,4,4.00,4171.87,0.00,1040.97,3130.90,926.33,0.00,0.00
selectivity_changes_10_insert,16,4,4.00,3896.15,0.00,972.04,2924.11,995.51,0.00,0.00
selectivity_changes_10_insert,18,4,4.00,3692.05,0.00,921.01,2771.03,1129.24,0.00,0.00
selectivity_changes_10_select,2,4,8259.30,8259.30,8259.30,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,4,4,8373.25,8373.25,8373.25,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,6,4,8251.15,8251.65,8251.65,0.00,0.00,0.68,0.00,0.00
selectivity_changes_10_select,8,4,8347.04,8347.04,8347.04,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,10,4,8347.93,8347.43,8347.43,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,12,4,8379.49,8379.49,8379.49,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,14,4,8336.98,8336.98,8336.98,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,16,4,8356.95,8357.45,8357.45,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,18,4,8369.56,8369.06,8369.06,0.00,0.00,0.64,0.00,0.00
selectivity_changes_100_insert,2,4,2.00,3492.28,0.00,872.07,2620.21,1129.24,0.00,0.00
selectivity_changes_100_insert,4,4,4.00,3694.73,0.00,921.68,2773.05,1191.92,0.00,0.00
selectivity_changes_100_insert,6,4,4.00,4554.12,0.00,1136.53,3417.59,1032.01,0.00,0.00
selectivity_changes_100_insert,8,4,6.00,4308.05,0.00,1074.51,3233.54,960.30,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,4194.02,0.00,1046.01,3148.02,1013.60,0.00,0.00
selectivity_changes_100_insert,12,4,2.00,3609.48,0.00,901.49,2707.98,1013.60,0.00,0.00
selectivity_changes_100_insert,14,4,4.00,3250.60,0.00,810.52,2440.07,1258.08,0.00,0.00
selectivity_changes_100_insert,16,4,4.00,3214.02,0.00,801.50,2412.51,1352.03,0.00,0.00
selectivity_changes_100_insert,18,4,2.00,2995.98,0.00,748.00,2247.99,1327.91,0.00,0.00
selectivity_changes_100_select,2,4,11622.62,11622.62,11622.62,0.00,0.00,0.49,0.00,0.00
selectivity_changes_100_select,4,4,11761.49,11761.99,11761.99,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,6,4,11802.00,11801.50,11801.50,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,8,4,11782.49,11782.49,11782.49,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,10,4,11753.03,11753.03,11753.03,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,12,4,11810.96,11810.96,11810.96,0.00,0.00,0.48,0.00,0.00
selectivity_changes_100_select,14,4,11983.61,11983.61,11983.61,0.00,0.00,0.47,0.00,0.00
selectivity_changes_100_select,16,4,12139.71,12139.71,12139.71,0.00,0.00,0.46,0.00,0.00
selectivity_changes_100_select,18,4,11801.31,11801.31,11801.31,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_insert,2,4,4.00,4070.00,0.00,1016.50,3053.50,995.51,0.00,0.00
selectivity_changes_500_insert,4,4,2.00,3942.62,0.00,984.66,2957.97,1032.01,0.00,0.00
selectivity_changes_500_insert,6,4,4.00,3536.31,0.00,882.08,2654.24,1109.09,0.00,0.00
selectivity_changes_500_insert,8,4,4.00,4093.91,0.00,1021.48,3072.43,1149.76,0.00,0.00
selectivity_changes_500_insert,10,4,6.00,4650.14,0.00,1159.54,3490.61,995.51,0.00,0.00
selectivity_changes_500_insert,12,4,4.00,4099.96,0.00,1022.99,3076.97,1109.09,0.00,0.00
selectivity_changes_500_insert,14,4,2.00,3415.87,0.00,852.97,2562.91,1191.92,0.00,0.00
selectivity_changes_500_insert,16,4,4.00,3580.08,0.00,893.02,2687.06,1149.76,0.00,0.00
selectivity_changes_500_insert,18,4,4.00,3668.05,0.00,915.01,2753.04,1109.09,0.00,0.00
selectivity_changes_500_select,2,4,11772.75,11772.75,11772.75,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,4,4,11946.38,11946.38,11946.38,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,6,4,11953.82,11953.82,11953.82,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,8,4,11834.73,11834.73,11834.73,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,10,4,11655.95,11655.95,11655.95,0.00,0.00,0.51,0.00,0.00
selectivity_changes_500_select,12,4,11896.03,11896.03,11896.03,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,14,4,11936.67,11936.67,11936.67,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,16,4,11946.74,11946.74,11946.74,0.00,0.00,0.47,0.00,0.00
selectivity_changes_500_select,18,4,11953.38,11953.38,11953.38,0.00,0.00,0.47,0.00,0.00
