Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_10_insert,2,4,4.00,4470.08,0.00,1115.02,3355.06,909.80,0.00,0.00
selectivity_changes_10_insert,4,4,4.00,4516.81,0.00,1127.20,3389.61,909.80,0.00,0.00
selectivity_changes_10_insert,6,4,4.00,4625.82,0.00,1154.46,3471.37,909.80,0.00,0.00
selectivity_changes_10_insert,8,4,4.00,4436.08,0.00,1107.02,3329.06,909.80,0.00,0.00
selectivity_changes_10_insert,10,4,6.00,4167.57,0.00,1039.02,3128.55,977.74,0.00,0.00
selectivity_changes_10_insert,12,4,4.00,4543.50,0.00,1134.00,3409.50,893.56,0.00,0.00
selectivity_changes_10_insert,14,4,4.00,4252.93,0.00,1060.98,3191.95,960.30,0.00,0.00
selectivity_changes_10_insert,16,4,6.00,5270.10,0.00,1314.53,3955.58,943.16,0.00,0.00
selectivity_changes_10_insert,18,4,4.00,5307.97,0.00,1324.99,3982.97,787.74,0.00,0.00
selectivity_changes_10_select,2,4,8564.58,8564.58,8564.58,0.00,0.00,0.69,0.00,0.00
selectivity_changes_10_select,4,4,8783.89,8783.89,8783.89,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,6,4,8722.15,8722.15,8722.15,0.00,0.00,0.67,0.00,0.00
selectivity_changes_10_select,8,4,8747.91,8747.91,8747.91,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,10,4,8713.90,8713.90,8713.90,0.00,0.00,0.65,0.00,0.00
selectivity_changes_10_select,12,4,8755.57,8755.57,8755.57,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,14,4,8772.23,8772.23,8772.23,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,16,4,8798.73,8798.73,8798.73,0.00,0.00,0.64,0.00,0.00
selectivity_changes_10_select,18,4,8766.03,8766.03,8766.03,0.00,0.00,0.65,0.00,0.00
selectivity_changes_100_insert,2,4,4.00,4248.19,0.00,1060.92,3187.27,943.16,0.00,0.00
selectivity_changes_100_insert,4,4,4.00,4418.84,0.00,1102.33,3316.51,943.16,0.00,0.00
selectivity_changes_100_insert,6,4,4.00,4459.90,0.00,1112.97,3346.92,926.33,0.00,0.00
selectivity_changes_100_insert,8,4,4.00,4231.84,0.00,1055.96,3175.88,960.30,0.00,0.00
selectivity_changes_100_insert,10,4,4.00,4466.27,0.00,1114.57,3351.70,893.56,0.00,0.00
selectivity_changes_100_insert,12,4,6.00,5229.93,0.00,1304.48,3925.45,926.33,0.00,0.00
selectivity_changes_100_insert,14,4,6.00,5469.83,0.00,1364.46,4105.37,746.32,0.00,0.00
selectivity_changes_100_insert,16,4,4.00,4983.99,0.00,1244.00,3739.99,802.05,0.00,0.00
selectivity_changes_100_insert,18,4,4.00,4544.17,0.00,1134.04,3410.13,893.56,0.00,0.00
selectivity_changes_100_select,2,4,11167.79,11167.79,11167.79,0.00,0.00,0.55,0.00,0.00
selectivity_changes_100_select,4,4,11489.14,11489.14,11489.14,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,6,4,11493.32,11493.32,11493.32,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,8,4,11460.54,11460.54,11460.54,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,10,4,11546.95,11546.95,11546.95,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,12,4,11581.63,11582.13,11582.13,0.00,0.00,0.51,0.00,0.00
selectivity_changes_100_select,14,4,11506.64,11506.14,11506.14,0.00,0.00,0.52,0.00,0.00
selectivity_changes_100_select,16,4,11606.89,11606.89,11606.89,0.00,0.00,0.50,0.00,0.00
selectivity_changes_100_select,18,4,11481.37,11481.37,11481.37,0.00,0.00,0.52,0.00,0.00
selectivity_changes_500_insert,2,4,4.00,4683.48,0.00,1168.37,3515.11,861.95,0.00,0.00
selectivity_changes_500_insert,4,4,4.00,4705.17,0.00,1174.29,3530.88,846.57,0.00,0.00
selectivity_changes_500_insert,6,4,6.00,4896.05,0.00,1221.01,3675.04,877.61,0.00,0.00
selectivity_changes_500_insert,8,4,4.00,4490.19,0.00,1120.55,3369.64,893.56,0.00,0.00
selectivity_changes_500_insert,10,4,4.00,4535.82,0.00,1131.96,3403.87,960.30,0.00,0.00
selectivity_changes_500_insert,12,4,6.00,4782.16,0.00,1192.54,3589.62,861.95,0.00,0.00
selectivity_changes_500_insert,14,4,4.00,4546.03,0.00,1134.51,3411.52,877.61,0.00,0.00
selectivity_changes_500_insert,16,4,4.00,4439.86,0.00,1107.97,3331.89,943.16,0.00,0.00
selectivity_changes_500_insert,18,4,4.00,4725.90,0.00,1179.47,3546.42,861.95,0.00,0.00
selectivity_changes_500_select,2,4,11745.95,11745.95,11745.95,0.00,0.00,0.51,0.00,0.00
selectivity_changes_500_select,4,4,11743.10,11743.10,11743.10,0.00,0.00,0.50,0.00,0.00
selectivity_changes_500_select,6,4,11475.35,11475.35,11475.35,0.00,0.00,0.54,0.00,0.00
selectivity_changes_500_select,8,4,11924.75,11924.75,11924.75,0.00,0.00,0.49,0.00,0.00
selectivity_changes_500_select,10,4,12068.66,12068.66,12068.66,0.00,0.00,0.48,0.00,0.00
selectivity_changes_500_select,12,4,11964.45,11964.45,11964.45,0.00,0.00,0.50,0.00,0.00
