Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_length_10,1,1,3763.31,5033.19,3762.31,1265.89,5.00,634.96,0.00,0.00
selectivity_changes_length_10,2,1,3703.85,4935.41,3701.85,1229.56,4.00,670.20,0.00,0.00
selectivity_changes_length_10,3,1,3738.68,5034.61,3737.68,1294.93,2.00,612.51,0.00,0.00
selectivity_changes_length_10,4,1,3666.30,4927.25,3664.30,1258.95,4.00,646.49,0.00,0.00
selectivity_changes_length_10,5,1,3689.97,4980.01,3688.97,1289.04,2.00,569.97,0.00,0.00
selectivity_changes_length_10,6,1,3703.04,4938.04,3701.04,1233.00,4.00,658.24,0.00,0.00
selectivity_changes_length_10,7,1,3594.83,4844.83,3592.83,1248.00,4.00,658.24,0.00,0.00
selectivity_changes_length_10,8,1,3747.92,4990.89,3746.92,1241.97,2.00,634.96,0.00,0.00
selectivity_changes_length_100,1,1,4413.87,5621.74,4412.87,1203.87,5.00,658.18,0.00,0.00
selectivity_changes_length_100,2,1,4476.74,5660.30,4475.74,1182.55,2.00,670.14,0.00,0.00
selectivity_changes_length_100,3,1,4505.28,5773.29,4503.28,1266.01,4.00,694.70,0.00,0.00
selectivity_changes_length_100,4,1,4549.69,5877.69,4547.69,1326.00,4.00,612.45,0.00,0.00
selectivity_changes_length_100,5,1,4562.30,5845.31,4561.30,1282.01,2.00,590.80,0.00,0.00
selectivity_changes_length_100,6,1,4548.17,5738.17,4546.17,1188.00,4.00,682.30,0.00,0.00
selectivity_changes_length_100,7,1,4505.57,5977.53,4503.57,1469.96,4.00,601.54,0.00,0.00
selectivity_changes_length_500,1,1,4608.68,5898.40,4607.68,1285.72,5.00,612.45,0.00,0.00
selectivity_changes_length_500,2,1,4734.02,6118.67,4732.02,1382.64,4.00,623.56,0.00,0.00
selectivity_changes_length_500,3,1,4730.82,5993.85,4729.82,1262.03,2.00,612.45,0.00,0.00
selectivity_changes_length_500,4,1,4675.34,5867.34,4673.34,1190.00,4.00,682.30,0.00,0.00
selectivity_changes_length_500,5,1,4694.08,5951.11,4693.08,1256.03,2.00,646.43,0.00,0.00
selectivity_changes_length_500,6,1,4644.98,5959.95,4642.98,1312.97,4.00,646.43,0.00,0.00
selectivity_changes_length_500,7,1,4676.60,5901.57,4674.60,1222.97,4.00,670.13,0.00,0.00
selectivity_changes_length_500,8,1,4690.25,6026.31,4689.25,1335.06,2.00,623.57,0.00,0.00
