Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_length_10,3.00,4.00,8909.76,13740.21,8904.43,1207.28,3628.50,788.37,0.00,0.00
selectivity_changes_length_10,6.00,4.00,8973.26,13722.10,8967.93,1185.87,3568.29,720.54,0.00,0.00
selectivity_changes_length_10,9.00,4.00,8956.63,13612.59,8949.96,1162.32,3500.31,720.55,0.00,0.00
selectivity_changes_length_10,12.00,4.00,8949.77,13568.43,8944.44,1153.33,3470.66,720.54,0.00,0.00
selectivity_changes_length_10,15.00,4.00,8981.95,14044.88,8975.28,1264.32,3805.28,670.51,0.00,0.00
selectivity_changes_length_10,18.00,4.00,8965.98,13506.34,8960.65,1133.67,3412.02,760.50,0.00,0.00
selectivity_changes_length_10,21.00,4.00,8995.34,13794.66,8988.67,1198.00,3608.00,720.54,0.00,0.00
selectivity_changes_length_10,24.00,4.00,8999.34,13335.22,8994.01,1082.64,3258.58,788.37,0.00,0.00
selectivity_changes_length_10,27.00,4.00,8950.79,13508.28,8945.46,1138.04,3424.78,720.55,0.00,0.00
selectivity_changes_length_10,30.00,4.00,9037.66,13457.54,9032.33,1103.64,3321.57,760.49,0.00,0.00
selectivity_changes_length_10,33.00,4.00,8976.20,13844.92,8969.53,1215.68,3659.71,720.54,0.00,0.00
selectivity_changes_length_10,36.00,4.00,8976.64,14092.03,8971.31,1277.35,3843.37,635.27,0.00,0.00
selectivity_changes_length_10,39.00,4.00,8977.16,13737.13,8970.49,1188.33,3578.31,695.08,0.00,0.00
selectivity_changes_length_10,42.00,4.00,9004.23,13702.83,8998.90,1173.31,3530.61,707.68,0.00,0.00
selectivity_changes_length_10,45.00,4.00,8993.00,13829.71,8986.33,1207.68,3635.70,746.93,0.00,0.00
selectivity_changes_length_10,48.00,4.00,9016.28,13871.70,9010.95,1212.35,3648.40,670.51,0.00,0.00
selectivity_changes_length_10,51.00,4.00,8976.70,13677.89,8970.03,1173.63,3534.23,695.07,0.00,0.00
selectivity_changes_length_10,54.00,4.00,8967.95,13671.98,8962.62,1174.67,3534.69,733.62,0.00,0.00
selectivity_changes_length_10,57.00,4.00,8979.69,13736.73,8973.02,1187.68,3576.03,707.69,0.00,0.00
selectivity_changes_length_10,60.00,4.00,8924.34,13823.34,8919.01,1223.33,3681.00,682.68,0.00,0.00
selectivity_changes_length_100,3.00,4.00,11729.88,16292.29,11724.55,1138.27,3429.47,788.22,0.00,0.00
selectivity_changes_length_100,6.00,4.00,11889.44,16647.59,11884.11,1188.20,3575.27,707.54,0.00,0.00
selectivity_changes_length_100,9.00,4.00,11878.03,17137.91,11871.36,1313.31,3953.25,720.40,0.00,0.00
selectivity_changes_length_100,12.00,4.00,11875.28,17570.07,11868.61,1422.03,4279.43,570.14,0.00,0.00
selectivity_changes_length_100,15.00,4.00,11934.39,16927.74,11927.72,1246.67,3753.35,670.36,0.00,0.00
selectivity_changes_length_100,18.00,4.00,11881.79,16444.79,11876.80,1139.33,3428.66,733.48,0.00,0.00
selectivity_changes_length_100,21.00,4.00,11903.16,16840.12,11896.15,1232.66,3711.31,733.48,0.00,0.00
selectivity_changes_length_100,24.00,4.00,11864.04,16500.13,11858.71,1157.69,3483.73,707.54,0.00,0.00
selectivity_changes_length_100,27.00,4.00,11867.78,16347.68,11861.11,1118.31,3368.26,733.48,0.00,0.00
selectivity_changes_length_100,30.00,4.00,11838.86,16394.81,11833.53,1137.65,3423.63,733.47,0.00,0.00
selectivity_changes_length_100,33.00,4.00,11896.31,16448.42,11890.98,1136.69,3420.74,774.16,0.00,0.00
selectivity_changes_length_100,36.00,4.00,11935.09,16639.10,11929.76,1174.67,3534.67,694.92,0.00,0.00
selectivity_changes_length_100,39.00,4.00,11931.30,16588.67,11924.63,1162.68,3501.36,733.47,0.00,0.00
selectivity_changes_length_100,42.00,4.00,11822.66,16479.99,11817.33,1163.00,3499.66,707.55,0.00,0.00
selectivity_changes_length_100,45.00,4.00,11935.65,17194.24,11928.98,1312.98,3952.28,670.36,0.00,0.00
selectivity_changes_length_100,48.00,4.00,11847.04,16841.98,11840.70,1246.99,3754.29,658.41,0.00,0.00
selectivity_changes_length_100,51.00,4.00,11924.66,16363.02,11918.99,1108.34,3335.69,733.47,0.00,0.00
selectivity_changes_length_100,54.00,4.00,11894.67,16319.95,11889.34,1104.99,3325.63,733.47,0.00,0.00
selectivity_changes_length_100,57.00,4.00,11890.74,16546.92,11885.41,1162.71,3498.80,733.48,0.00,0.00
selectivity_changes_length_100,60.00,4.00,11916.94,16494.25,11910.27,1142.66,3441.32,760.35,0.00,0.00
selectivity_changes_length_500,3.00,4.00,12021.27,16577.14,12015.94,1136.63,3424.56,720.39,0.00,0.00
selectivity_changes_length_500,6.00,4.00,12143.70,16708.06,12138.37,1139.84,3429.85,746.78,0.00,0.00
selectivity_changes_length_500,9.00,4.00,12032.33,16946.05,12025.66,1226.68,3693.71,707.55,0.00,0.00
selectivity_changes_length_500,12.00,4.00,12223.96,17162.64,12218.63,1233.34,3710.68,682.52,0.00,0.00
selectivity_changes_length_500,15.00,4.00,12183.07,16934.90,12176.40,1186.29,3572.21,707.54,0.00,0.00
selectivity_changes_length_500,18.00,4.00,12171.30,16904.39,12165.97,1182.02,3556.40,707.53,0.00,0.00
selectivity_changes_length_500,21.00,4.00,12149.69,16494.02,12144.36,1084.67,3265.00,774.14,0.00,0.00
selectivity_changes_length_500,24.00,4.00,12244.66,16762.09,12239.33,1128.02,3394.74,733.46,0.00,0.00
selectivity_changes_length_500,27.00,4.00,12205.69,17444.36,12199.02,1308.00,3937.34,733.46,0.00,0.00
selectivity_changes_length_500,30.00,4.00,12361.98,17109.82,12355.31,1185.29,3569.22,720.38,0.00,0.00
