Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_length_10,1.00,1.00,3721.38,5472.78,3719.38,1746.41,6.99,467.59,0.00,0.00
selectivity_changes_length_10,2.00,1.00,3878.57,5648.23,3876.57,1767.66,4.00,451.06,0.00,0.00
selectivity_changes_length_10,3.00,1.00,3857.50,5665.55,3855.50,1806.05,4.00,451.07,0.00,0.00
selectivity_changes_length_10,4.00,1.00,3786.00,5588.96,3784.00,1800.96,4.00,451.07,0.00,0.00
selectivity_changes_length_10,5.00,1.00,3819.66,5631.79,3816.66,1809.13,6.00,451.06,0.00,0.00
selectivity_changes_length_10,6.00,1.00,3881.33,5691.22,3879.33,1807.89,4.00,451.06,0.00,0.00
selectivity_changes_length_10,7.00,1.00,3857.62,5594.66,3855.62,1735.04,4.00,459.25,0.00,0.00
selectivity_changes_length_100,1.00,1.00,4449.80,6191.09,4447.80,1736.30,6.99,476.05,0.00,0.00
selectivity_changes_length_100,2.00,1.00,4490.11,6301.06,4488.11,1808.94,4.00,442.98,0.00,0.00
selectivity_changes_length_100,3.00,1.00,4587.02,6384.97,4585.02,1795.95,4.00,451.01,0.00,0.00
selectivity_changes_length_100,4.00,1.00,4594.00,6386.01,4592.00,1790.01,4.00,451.01,0.00,0.00
selectivity_changes_length_100,5.00,1.00,4547.98,6338.98,4544.98,1788.00,6.00,451.01,0.00,0.00
selectivity_changes_length_100,6.00,1.00,4536.08,6346.95,4534.08,1808.87,4.00,442.97,0.00,0.00
selectivity_changes_length_100,7.00,1.00,4500.02,6291.19,4498.02,1789.17,4.00,451.02,0.00,0.00
selectivity_changes_length_500,1.00,1.00,4509.91,6307.16,4507.91,1792.26,6.99,451.02,0.00,0.00
selectivity_changes_length_500,2.00,1.00,4500.85,6329.68,4498.85,1826.83,4.00,442.98,0.00,0.00
selectivity_changes_length_500,3.00,1.00,4528.90,6288.91,4526.90,1758.01,4.00,467.54,0.00,0.00
selectivity_changes_length_500,4.00,1.00,4500.79,6240.78,4498.79,1737.99,4.00,484.69,0.00,0.00
selectivity_changes_length_500,5.00,1.00,4556.01,6332.05,4553.01,1773.04,6.00,459.21,0.00,0.00
selectivity_changes_length_500,6.00,1.00,4415.36,6096.29,4413.36,1678.93,4.00,484.70,0.00,0.00
selectivity_changes_length_500,7.00,1.00,4558.64,6316.68,4557.64,1755.04,4.00,467.54,0.00,0.00
selectivity_changes_length_500,8.00,1.00,4583.11,6239.10,4580.11,1654.99,4.00,493.48,0.00,0.00
