Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
selectivity_changes_length_10_insert,1,1,2.00,1753.40,0.00,1746.41,6.99,467.30,0.00,0.00
selectivity_changes_length_10_insert,2,1,2.00,1771.66,0.00,1767.66,4.00,450.77,0.00,0.00
selectivity_changes_length_10_insert,3,1,2.00,1810.05,0.00,1806.05,4.00,450.77,0.00,0.00
selectivity_changes_length_10_insert,4,1,2.00,1804.96,0.00,1800.96,4.00,450.77,0.00,0.00
selectivity_changes_length_10_insert,5,1,3.00,1815.13,0.00,1809.13,6.00,450.77,0.00,0.00
selectivity_changes_length_10_insert,6,1,2.00,1811.89,0.00,1807.89,4.00,450.77,0.00,0.00
selectivity_changes_length_10_insert,7,1,2.00,1739.04,0.00,1735.04,4.00,458.96,0.00,0.00
selectivity_changes_length_10_insert,8,1,2.00,1789.84,0.00,1785.84,4.00,458.96,0.00,0.00
selectivity_changes_length_10_select,1,1,3719.38,3719.38,3719.38,0.00,0.00,0.29,0.00,0.00
selectivity_changes_length_10_select,2,1,3876.57,3876.57,3876.57,0.00,0.00,0.29,0.00,0.00
selectivity_changes_length_10_select,3,1,3855.50,3855.50,3855.50,0.00,0.00,0.30,0.00,0.00
selectivity_changes_length_10_select,4,1,3784.00,3784.00,3784.00,0.00,0.00,0.30,0.00,0.00
selectivity_changes_length_10_select,5,1,3816.66,3816.66,3816.66,0.00,0.00,0.29,0.00,0.00
selectivity_changes_length_10_select,6,1,3879.33,3879.33,3879.33,0.00,0.00,0.29,0.00,0.00
selectivity_changes_length_10_select,7,1,3855.62,3855.62,3855.62,0.00,0.00,0.29,0.00,0.00
selectivity_changes_length_100_insert,1,1,2.00,1743.29,0.00,1736.30,6.99,475.79,0.00,0.00
selectivity_changes_length_100_insert,2,1,2.00,1812.95,0.00,1808.94,4.00,442.73,0.00,0.00
selectivity_changes_length_100_insert,3,1,2.00,1799.95,0.00,1795.95,4.00,450.77,0.00,0.00
selectivity_changes_length_100_insert,4,1,2.00,1794.01,0.00,1790.01,4.00,450.77,0.00,0.00
selectivity_changes_length_100_insert,5,1,3.00,1794.00,0.00,1788.00,6.00,450.77,0.00,0.00
selectivity_changes_length_100_insert,6,1,2.00,1812.87,0.00,1808.87,4.00,442.73,0.00,0.00
selectivity_changes_length_100_insert,7,1,2.00,1793.17,0.00,1789.17,4.00,450.77,0.00,0.00
selectivity_changes_length_100_insert,8,1,2.00,1756.00,0.00,1752.00,4.00,442.73,0.00,0.00
selectivity_changes_length_100_select,1,1,4447.80,4447.80,4447.80,0.00,0.00,0.26,0.00,0.00
selectivity_changes_length_100_select,2,1,4488.11,4488.11,4488.11,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_100_select,3,1,4585.02,4585.02,4585.02,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_100_select,4,1,4592.00,4592.00,4592.00,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_100_select,5,1,4544.98,4544.98,4544.98,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_100_select,6,1,4534.08,4534.08,4534.08,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_100_select,7,1,4498.02,4498.02,4498.02,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_500_insert,1,1,2.00,1799.25,0.00,1792.26,6.99,450.77,0.00,0.00
selectivity_changes_length_500_insert,2,1,2.00,1830.83,0.00,1826.83,4.00,442.73,0.00,0.00
selectivity_changes_length_500_insert,3,1,2.00,1762.01,0.00,1758.01,4.00,467.30,0.00,0.00
selectivity_changes_length_500_insert,4,1,2.00,1741.99,0.00,1737.99,4.00,484.44,0.00,0.00
selectivity_changes_length_500_insert,5,1,3.00,1779.04,0.00,1773.04,6.00,458.96,0.00,0.00
selectivity_changes_length_500_insert,6,1,2.00,1682.93,0.00,1678.93,4.00,484.44,0.00,0.00
selectivity_changes_length_500_insert,7,1,2.00,1759.04,0.00,1755.04,4.00,467.30,0.00,0.00
selectivity_changes_length_500_insert,8,1,2.00,1658.99,0.00,1654.99,4.00,493.24,0.00,0.00
selectivity_changes_length_500_select,1,1,4507.91,4507.91,4507.91,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_500_select,2,1,4498.85,4498.85,4498.85,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_500_select,3,1,4526.90,4526.90,4526.90,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_500_select,4,1,4498.79,4498.79,4498.79,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_500_select,5,1,4553.01,4553.01,4553.01,0.00,0.00,0.25,0.00,0.00
selectivity_changes_length_500_select,6,1,4413.36,4413.36,4413.36,0.00,0.00,0.26,0.00,0.00
selectivity_changes_length_500_select,7,1,4556.64,4557.64,4557.64,0.00,0.00,0.24,0.00,0.00
selectivity_changes_length_500_select,8,1,4581.11,4580.11,4580.11,0.00,0.00,0.24,0.00,0.00
