Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
selectivity_changes_length_10,1,1,3777.43,4795.48,3776.43,1014.06,5.00,760.17,0.00,0.00,1019.05
selectivity_changes_length_10,2,1,3677.78,4829.33,3676.78,1150.54,2.00,733.30,0.00,0.00,1152.55
selectivity_changes_length_10,3,1,3728.96,4936.91,3726.96,1205.95,4.00,694.74,0.00,0.00,1209.95
selectivity_changes_length_10,4,1,3831.06,4911.12,3830.06,1079.06,2.00,720.21,0.00,0.00,1081.06
selectivity_changes_length_10,5,1,3796.03,4819.01,3795.03,1021.98,2.00,720.21,0.00,0.00,1023.98
selectivity_changes_length_10,6,1,3857.66,4856.68,3855.66,997.02,4.00,831.75,0.00,0.00,1001.02
selectivity_changes_length_10,7,1,3830.34,4846.33,3829.34,1014.99,2.00,773.97,0.00,0.00,1016.99
selectivity_changes_length_10,8,1,3842.06,4862.05,3841.06,1018.99,2.00,788.03,0.00,0.00,1020.99
selectivity_changes_length_100,1,1,4618.82,5744.76,4617.82,1121.94,5.00,707.31,0.00,0.00,1126.94
selectivity_changes_length_100,2,1,4569.62,5899.29,4567.62,1327.66,4.00,682.30,0.00,0.00,1331.67
selectivity_changes_length_100,3,1,4637.14,5749.11,4636.14,1110.97,2.00,720.16,0.00,0.00,1112.97
selectivity_changes_length_100,4,1,4689.20,5763.19,4688.20,1072.99,2.00,694.68,0.00,0.00,1074.99
selectivity_changes_length_100,5,1,4610.67,5628.71,4608.67,1016.04,4.00,816.87,0.00,0.00,1020.04
selectivity_changes_length_100,6,1,4639.00,5705.98,4638.00,1065.98,2.00,733.24,0.00,0.00,1067.98
selectivity_changes_length_100,7,1,4635.03,5970.04,4633.03,1333.01,4.00,760.12,0.00,0.00,1337.01
selectivity_changes_length_500,1,1,4595.00,5680.03,4594.00,1081.04,5.00,746.56,0.00,0.00,1086.03
selectivity_changes_length_500,2,1,4597.90,5650.38,4596.90,1051.48,2.00,746.56,0.00,0.00,1053.48
selectivity_changes_length_500,3,1,4675.02,5829.00,4673.02,1151.98,4.00,746.56,0.00,0.00,1155.98
selectivity_changes_length_500,4,1,4653.92,5853.91,4652.92,1198.99,2.00,646.43,0.00,0.00,1200.99
selectivity_changes_length_500,5,1,4611.81,5751.85,4609.81,1138.04,4.00,720.16,0.00,0.00,1142.04
selectivity_changes_length_500,6,1,4723.15,5734.13,4722.15,1009.98,2.00,802.28,0.00,0.00,1011.98
selectivity_changes_length_500,7,1,4659.96,5782.88,4658.96,1121.92,2.00,733.24,0.00,0.00,1123.92
